manufacturer,Flight_Date,arr_delay,carrier,tailnum,origin
BOEING,1/1/2013,33,AA,N619AA,JFK
AIRBUS,1/1/2013,-8,B6,N593JB,JFK
BOEING,1/1/2013,7,UA,N29129,JFK
BOEING,1/1/2013,-8,DL,N3739P,JFK
AIRBUS,1/1/2013,0,US,N535UW,JFK
AIRBUS,1/1/2013,-6,B6,N558JB,JFK
EMBRAER,1/1/2013,11,B6,N178JB,JFK
BOEING,1/1/2013,-9,DL,N3763D,JFK
AIRBUS,1/1/2013,5,B6,N562JB,JFK
EMBRAER,1/1/2013,-1,B6,N304JB,JFK
AIRBUS,1/1/2013,4,B6,N552JB,JFK
BOEING,1/1/2013,7,AA,N338AA,JFK
BOEING,1/1/2013,3,DL,N3760C,JFK
BOEING,1/1/2013,10,AA,N336AA,JFK
BOEING,1/1/2013,-12,UA,N510UA,JFK
EMBRAER,1/1/2013,10,B6,N273JB,JFK
AIRBUS,1/1/2013,12,B6,N570JB,JFK
BOEING,1/1/2013,0,DL,N308DE,JFK
EMBRAER,1/1/2013,17,B6,N228JB,JFK
"AIRBUS INDUSTRIE",1/1/2013,-14,DL,N324US,JFK
"AIRBUS INDUSTRIE",1/1/2013,24,B6,N521JB,JFK
EMBRAER,1/1/2013,-7,B6,N292JB,JFK
EMBRAER,1/1/2013,15,B6,N274JB,JFK
BOEING,1/1/2013,-8,UA,N554UA,JFK
EMBRAER,1/1/2013,2,B6,N184JB,JFK
BOEING,1/1/2013,6,AA,N324AA,JFK
AIRBUS,1/1/2013,-14,HA,N380HA,JFK
EMBRAER,1/1/2013,40,B6,N281JB,JFK
EMBRAER,1/1/2013,-7,B6,N203JB,JFK
AIRBUS,1/1/2013,-5,B6,N568JB,JFK
EMBRAER,1/1/2013,-16,B6,N216JB,JFK
EMBRAER,1/1/2013,14,B6,N346JB,JFK
AIRBUS,1/1/2013,-4,B6,N580JB,JFK
"AIRBUS INDUSTRIE",1/1/2013,2,B6,N534JB,JFK
"AIRBUS INDUSTRIE",1/1/2013,-5,B6,N503JB,JFK
AIRBUS,1/1/2013,42,B6,N579JB,JFK
EMBRAER,1/1/2013,-17,B6,N306JB,JFK
AIRBUS,1/1/2013,39,US,N541UW,JFK
BOEING,1/1/2013,-21,DL,N399DA,JFK
BOEING,1/1/2013,11,AA,N328AA,JFK
BOEING,1/1/2013,32,AA,N325AA,JFK
"AIRBUS INDUSTRIE",1/1/2013,-1,B6,N529JB,JFK
BOEING,1/1/2013,-9,DL,N3748Y,JFK
EMBRAER,1/1/2013,-4,B6,N279JB,JFK
BOEING,1/1/2013,2,UA,N517UA,JFK
AIRBUS,1/1/2013,4,B6,N590JB,JFK
BOEING,1/1/2013,16,UA,N518UA,JFK
AIRBUS,1/1/2013,29,B6,N552JB,JFK
EMBRAER,1/1/2013,38,B6,N239JB,JFK
EMBRAER,1/1/2013,-6,B6,N192JB,JFK
EMBRAER,1/1/2013,36,B6,N228JB,JFK
EMBRAER,1/1/2013,-2,B6,N273JB,JFK
EMBRAER,1/1/2013,12,B6,N346JB,JFK
AIRBUS,1/1/2013,5,B6,N593JB,JFK
"AIRBUS INDUSTRIE",1/1/2013,1,DL,N318US,JFK
EMBRAER,1/1/2013,0,B6,N306JB,JFK
BOEING,1/1/2013,4,AA,N339AA,JFK
EMBRAER,1/1/2013,-14,B6,N216JB,JFK
AIRBUS,1/1/2013,-22,DL,N344NB,JFK
EMBRAER,1/1/2013,-18,B6,N274JB,JFK
"AIRBUS INDUSTRIE",1/1/2013,26,B6,N503JB,JFK
BOEING,1/1/2013,-11,UA,N502UA,JFK
"AIRBUS INDUSTRIE",1/1/2013,-15,DL,N319NB,JFK
EMBRAER,1/1/2013,-18,B6,N292JB,JFK
EMBRAER,1/1/2013,1,B6,N279JB,JFK
EMBRAER,1/1/2013,10,B6,N203JB,JFK
EMBRAER,1/1/2013,52,B6,N178JB,JFK
BOEING,1/1/2013,3,UA,N512UA,JFK
"AIRBUS INDUSTRIE",1/1/2013,27,B6,N504JB,JFK
AIRBUS,1/1/2013,27,B6,N607JB,JFK
BOEING,1/1/2013,-24,DL,N372DA,JFK
BOEING,1/1/2013,-17,AA,N319AA,JFK
AIRBUS,1/1/2013,115,B6,N570JB,JFK
BOEING,1/1/2013,-21,DL,N3750D,JFK
BOEING,1/1/2013,-28,DL,N374DA,JFK
EMBRAER,1/1/2013,12,B6,N316JB,JFK
EMBRAER,1/1/2013,20,B6,N184JB,JFK
AIRBUS,1/1/2013,3,US,N550UW,JFK
"AIRBUS INDUSTRIE",1/1/2013,2,DL,N361NW,JFK
AIRBUS,1/1/2013,80,B6,N599JB,JFK
"AIRBUS INDUSTRIE",1/1/2013,-16,DL,N331NW,JFK
"AIRBUS INDUSTRIE",1/1/2013,-30,B6,N534JB,JFK
"BOMBARDIER INC",1/1/2013,39,9E,N604LR,JFK
"AIRBUS INDUSTRIE",1/1/2013,-14,DL,N320NB,JFK
EMBRAER,1/1/2013,33,B6,N228JB,JFK
EMBRAER,1/1/2013,-8,B6,N346JB,JFK
BOEING,1/1/2013,4,AA,N386AA,JFK
BOEING,1/1/2013,-18,UA,N557UA,JFK
"PAIR MIKE E",1/1/2013,3,AA,N377AA,JFK
AIRBUS,1/1/2013,16,B6,N618JB,JFK
EMBRAER,1/1/2013,46,B6,N329JB,JFK
BOEING,1/1/2013,-21,DL,N3761R,JFK
EMBRAER,1/1/2013,34,B6,N216JB,JFK
EMBRAER,1/1/2013,-12,B6,N304JB,JFK
EMBRAER,1/1/2013,-6,B6,N294JB,JFK
AIRBUS,1/1/2013,20,US,N510UW,JFK
AIRBUS,1/1/2013,-15,B6,N592JB,JFK
AIRBUS,1/1/2013,-29,B6,N569JB,JFK
"AIRBUS INDUSTRIE",1/1/2013,-19,DL,N337NW,JFK
BOEING,1/1/2013,-13,DL,N3772H,JFK
EMBRAER,1/1/2013,12,B6,N281JB,JFK
BOEING,1/1/2013,-3,UA,N508UA,JFK
AIRBUS,1/1/2013,-29,DL,N344NB,JFK
BOEING,1/1/2013,78,AA,N332AA,JFK
BOEING,1/1/2013,127,AA,N323AA,JFK
"AIRBUS INDUSTRIE",1/1/2013,-22,B6,N505JB,JFK
BOEING,1/1/2013,0,DL,N173DZ,JFK
"AIRBUS INDUSTRIE",1/1/2013,-47,DL,N329NW,JFK
"AIRBUS INDUSTRIE",1/1/2013,-15,B6,N523JB,JFK
BOEING,1/1/2013,-48,DL,N3758Y,JFK
AIRBUS,1/1/2013,2,B6,N559JB,JFK
BOEING,1/1/2013,-4,DL,N375DA,JFK
AIRBUS,1/1/2013,5,B6,N552JB,JFK
BOEING,1/1/2013,81,DL,N3764D,JFK
BOEING,1/1/2013,25,AA,N327AA,JFK
"AIRBUS INDUSTRIE",1/1/2013,25,DL,N319NB,JFK
AIRBUS,1/1/2013,-3,B6,N593JB,JFK
EMBRAER,1/1/2013,10,B6,N203JB,JFK
"BOMBARDIER INC",1/1/2013,34,9E,N602LR,JFK
AIRBUS,1/1/2013,91,B6,N607JB,JFK
BOEING,1/1/2013,-14,DL,N3740C,JFK
AIRBUS,1/1/2013,50,B6,N558JB,JFK
EMBRAER,1/1/2013,12,B6,N192JB,JFK
EMBRAER,1/1/2013,10,B6,N267JB,JFK
EMBRAER,1/1/2013,3,B6,N184JB,JFK
AIRBUS,1/1/2013,-1,B6,N536JB,JFK
"AIRBUS INDUSTRIE",1/1/2013,-2,B6,N535JB,JFK
AIRBUS,1/1/2013,-6,B6,N587JB,JFK
BOEING,1/1/2013,-32,DL,N3738B,JFK
BOEING,1/1/2013,-24,AA,N338AA,JFK
EMBRAER,1/1/2013,-14,B6,N284JB,JFK
"ROBINSON HELICOPTER CO",1/1/2013,2,B6,N537JB,JFK
AIRBUS,1/1/2013,21,B6,N608JB,JFK
